"Date","stock_id","Open","High","Low","Volume","Close"
2016-01-01,1,102.610001,105.849998,96.43,272992200,96.449997
2016-01-01,2,2.77,2.82,2.26,91452000,2.28
2016-01-01,3,656.289978,657.719971,605.210022,27541200,607.940002
2016-01-01,4,468.700012,469,411.609985,10390500,416
2016-01-01,5,25.219999,25.49,23.360001,4377100,23.469999
2016-01-01,7,175.789993,177.5,163.600006,19494400,164.619995
2016-01-01,8,65.690002,67,63.599998,16950400,64.290001
2016-01-01,9,137.830002,139.550003,128.410004,2167800,129.089996
2016-01-01,10,49.810001,50.700001,47.02,21661000,48.5
2016-01-01,11,74.690002,76.470001,71.75,23461500,72.07
2016-01-01,12,54.32,55.389999,52.07,183941500,52.169998
2016-01-01,13,16.42,16.67,14.95,7504600,14.99
2016-01-01,14,17.24,17.25,15.61,463600,15.98
2016-01-01,15,52.849998,53.279999,51.91,9477600,52.459999
2016-01-01,16,6.9,7.15,5.7,39700,6.4
2016-01-01,17,57.650002,58.669998,52.380001,6787300,52.98
2016-01-01,18,83.639999,83.970001,76.809998,7651600,77.690002
2016-01-08,1,98.550003,101.190002,95.739998,295301300,99.519997
2016-01-08,2,2.36,2.46,2.1,97854100,2.21
2016-01-08,3,619.659973,625.98999,569.880005,30021800,593
2016-01-08,4,419.839996,463.51001,399.140015,11740500,454.299988
2016-01-08,5,23.68,23.709999,21.85,8111300,22.139999
2016-01-08,7,166.75,168.419998,156.759995,23282600,161.389999
2016-01-08,8,64.480003,69.459999,63.599998,29329500,65.120003
2016-01-08,9,128.960007,132.619995,119.110001,4081300,126.489998
2016-01-08,10,48.48,48.509998,44.630001,17057600,45.790001
2016-01-08,11,72.669998,74.279999,67.650002,31496600,69.910004
2016-01-08,12,52.369999,54.07,51.299999,241058800,53.110001
2016-01-08,13,15.12,15.25,12.79,8659700,13.76
2016-01-08,14,16.129999,16.290001,15.34,192000,15.86
2016-01-08,15,52.5,53.68,51.52,16749600,53.41
2016-01-08,16,6.05,10.9,5.7,426600,7.65
2016-01-08,17,52.970001,54.310001,48.009998,10169200,50.759998
2016-01-08,18,77.769997,78.800003,69.269997,9784900,71.919998
2016-01-15,1,96.199997,98.650002,93.419998,257417500,96.300003
2016-01-15,2,2.1,2.18,1.75,95809700,2.09
2016-01-15,3,572.23999,588.809998,547.179993,25510300,575.02002
2016-01-15,4,441.149994,478.369995,441.149994,8549100,461.200012
2016-01-15,5,21.799999,23.540001,21.48,6973500,22.450001
2016-01-15,7,156.699997,158.759995,151.490005,27205700,151.649994
2016-01-15,8,63.700001,65.529999,60.07,19622800,64.029999
2016-01-15,9,122.660004,132.960007,116.150002,3249800,130.160004
2016-01-15,10,44.490002,48.23,44.490002,18330200,47.740002
2016-01-15,11,67.75,71.040001,66.93,32097500,69.32
2016-01-15,12,51.310001,51.970001,49.099998,218849400,50.48
2016-01-15,13,13.15,14.87,12.98,17762300,14.28
2016-01-15,14,15.57,17.209999,15.41,1028100,16.059999
2016-01-15,15,52.360001,53.369999,50.650002,16587300,51.48
2016-01-15,16,6.8,7.75,6.5,45900,7.3
2016-01-15,17,49.110001,51.639999,44.040001,12391000,48.490002
2016-01-15,18,69.769997,72.459999,65.779999,9479000,69.510002
2016-01-22,1,98.629997,101.529999,92.389999,381720500,94.089996
2016-01-22,2,2.11,2.18,1.98,58375400,2.08
2016-01-22,3,588.72998,638.059998,578.780029,32450000,635.349976
2016-01-22,4,466.220001,466.329987,431.519989,6108100,453.079987
2016-01-22,5,22.77,23.67,22.08,5656300,23.450001
2016-01-22,7,154.580002,158.429993,151.119995,25319200,157.059998
2016-01-22,8,64.82,70.389999,64.68,19193100,67.510002
2016-01-22,9,132.850006,134.119995,123.010002,2794300,124.599998
2016-01-22,10,48.299999,49.810001,46.759998,13064900,47.990002
2016-01-22,11,70.360001,71,68.919998,26379000,69.230003
2016-01-22,12,51.41,52.650002,51.02,200453300,52.060001
2016-01-22,13,14.66,15.37,13.51,8258100,13.71
2016-01-22,14,17.030001,17.040001,16.389999,484400,16.469999
2016-01-22,15,51.98,54.16,51.439999,15215700,53.759998
2016-01-22,16,7.25,8.75,6.8,86000,8.05
2016-01-22,17,49.950001,51.990002,43.799999,8708000,44.34
2016-01-22,18,70.68,72.449997,65,10483100,67.32
2016-01-29,1,94.790001,97.339996,94.080002,235153200,96.599998
2016-01-29,2,2.09,2.2,1.95,50301700,2.09
2016-01-29,3,571.97998,593,519.219971,43592500,536.26001
2016-01-29,4,455.76001,484.200012,440.410004,11885100,470.899994
